claim,type,dimension,domain,subtopic
Electoral systems with proportional representation tend to produce more multiparty systems compared to majoritarian systems.,empirical,comparison,politics,Electoral systems
The use of Gerrymandering in electoral districting is associated with an increase in partisan polarization within the legislature.,empirical,causation,politics,Electoral systems
Electoral systems that incorporate ranked-choice voting tend to result in a higher number of seats won by third-party candidates compared to single-member plurality systems.,empirical,magnitude,politics,Electoral systems
Proportional representation electoral systems are generally less prevalent in countries with long-standing democratic traditions compared to majoritarian systems.,empirical,prevalence,politics,Electoral systems
Electoral systems that incorporate electronic voting tend to experience more technical issues on election day compared to paper-based systems.,empirical,magnitude,politics,Electoral systems
Majoritarian electoral systems are generally associated with lower voter turnout rates compared to proportional representation systems.,empirical,comparison,politics,Electoral systems
Electoral systems that incorporate independent electoral commissions tend to be more transparent in their decision-making processes compared to those with partisan-controlled bodies.,empirical,calibration,politics,Electoral systems
"Proportional representation electoral systems are generally considered to be a more accurate reflection of the popular vote compared to majoritarian systems, although this can vary depending on the specific context.",empirical,consensus,politics,Electoral systems
Electoral systems should prioritize fairness.,normative,moral valence,politics,Electoral systems
Campaign finance laws are too lax.,normative,policy response,politics,Electoral systems
It is the responsibility of citizens to actively participate in elections.,normative,responsibility,politics,Electoral systems
Electoral systems that favor rural areas over urban ones are unjust.,normative,moral valence,politics,Electoral systems
Proportional representation is the fairest electoral system.,normative,consensus,politics,Electoral systems
Electoral systems should prioritize accuracy over speed.,normative,value tradeoff,politics,Electoral systems
Disenfranchising felons undermines democratic legitimacy.,normative,sanctity,politics,Electoral systems
Electoral systems that allow for ranked-choice voting are more representative than those that do not.,normative,consensus,politics,Electoral systems
The presence of polarized political parties causes decreased legislative cooperation.,empirical,causation,politics,Political parties
The majority of citizens in many countries are represented by a small number of major political parties.,empirical,magnitude,politics,Political parties
The proportion of voters who switch their allegiance between political parties is relatively low.,empirical,prevalence,politics,Political parties
The electoral systems used in most countries are more favorable to the formation and survival of large political parties than those that favor smaller ones.,empirical,comparison,politics,Political parties
There is a significant difference between the levels of financial resources allocated by liberal vs. conservative political parties for election campaigns.,empirical,calibration,politics,Political parties
The political views and policies of most political parties in democratic countries align closely with those of their electorates.,empirical,consensus,politics,Political parties
Support for single-party systems is more prevalent among citizens of authoritarian regimes than those in democracies.,empirical,comparison,politics,Political parties
"The influence of political parties on the economic policies of governments can be significant, especially during times of crisis.",empirical,causation,politics,Political parties
Political parties should prioritize the needs of their constituents.,normative,moral valence,politics,Political parties
 Politicians have a responsibility to be transparent about their party's funding sources.,normative,responsibility,politics,Political parties
The government should regulate the flow of money into political parties.,normative,policy response,politics,Political parties
Prioritizing the interests of special interest groups can compromise a party's moral integrity.,normative,moral valence,politics,Political parties
Political parties should have more autonomy in making policy decisions.,normative,authority,politics,Political parties
Strengthening party loyalty can lead to increased voter turnout and engagement.,normative,loyalty,politics,Political parties
Allowing independent candidates to run in elections could undermine the authority of established political parties.,normative,authority,politics,Political parties
" Politicians may have to make unpopular decisions that harm some constituents in order to benefit the greater good, a principle embodied by the trolley problem in politics.",normative,trolley problem,politics,Political parties
Immigration policies cause significant economic growth in developed countries.,empirical,causation,politics,Immigration policy
The number of undocumented immigrants in the US has increased significantly since 2010.,empirical,magnitude,politics,Immigration policy
Immigration to developed countries is a major driver of population aging.,empirical,prevalence,politics,Immigration policy
"Compared to asylum seekers, economic migrants are more likely to integrate into their host society.",empirical,comparison,politics,Immigration policy
Studies suggest that a well-designed immigrant integration program can reduce unemployment rates among immigrants by up to 10%.,empirical,calibration,politics,Immigration policy
"There is near-universal agreement among economists that immigration benefits the host economy, although some argue that this benefit is short-term.",empirical,consensus,politics,Immigration policy
Border control policies in the US have a limited impact on reducing undocumented immigration.,empirical,prevalence,politics,Immigration policy
Immigration from high-income countries to low-income countries is more likely to have a positive effect on the receiving country's economy than vice versa.,empirical,comparison,politics,Immigration policy
Immigration policies should prioritize the well-being of native-born citizens over that of immigrants.,normative,value tradeoff,politics,Immigration policy
Governments are morally responsible for ensuring the basic needs of all migrants within their borders.,normative,responsibility,politics,Immigration policy
Increased immigration should lead to greater economic growth and prosperity in developed countries.,normative,consensus,politics,Immigration policy
Restrictive immigration policies undermine the principle of equality under the law.,normative,sanctity,politics,Immigration policy
Allowing undocumented immigrants to remain in a country without penalty does more good than harm.,normative,trolley problem,politics,Immigration policy
Immigration policies should be designed to maintain cultural homogeneity within nations.,normative,moral valence,politics,Immigration policy
More stringent border controls would protect the rights of citizens more effectively than a more open immigration policy.,normative,loyalty,politics,Immigration policy
Immigration policies should prioritize the reunification of families over other considerations.,normative,policy response,politics,Immigration policy
Restricting freedom of speech can lead to an increase in government corruption.,empirical,causation,politics,Freedom of speech
The current level of online hate speech is significantly lower than it was five years ago.,empirical,magnitude,politics,Freedom of speech
Freedom of speech is more prevalent in countries with a higher GDP per capita.,empirical,prevalence,politics,Freedom of speech
Social media platforms are more effective at regulating hate speech than traditional print media outlets.,empirical,comparison,politics,Freedom of speech
The majority of people in the EU agree that freedom of speech should be restricted for individuals who spread misinformation online.,empirical,calibration,politics,Freedom of speech
The level of press censorship in China is higher than it was during the Soviet Union under Stalin's rule.,empirical,comparison,politics,Freedom of speech
Social media companies should be held legally accountable for spreading misinformation on their platforms.,empirical,consensus,politics,Freedom of speech
Restricting freedom of speech has no effect on the spread of extremist ideologies online.,empirical,calibration,politics,Freedom of speech
Restricting hate speech is morally justifiable.,normative,moral valence,politics,Freedom of speech
Governments are responsible for protecting individuals' freedom of expression online.,normative,responsibility,politics,Freedom of speech
Universities should prioritize academic freedom in hiring and firing faculty.,normative,policy response,politics,Freedom of speech
Sacrificing some artistic expression for the sake of national security is a necessary value tradeoff.,normative,value tradeoff,politics,Freedom of speech
The protection of freedom of speech strengthens social bonds between diverse groups.,normative,loyalty,politics,Freedom of speech
Judicial independence from political interference is essential to upholding the authority of the law.,normative,authority,politics,Freedom of speech
The sanctity of truth in public discourse should take precedence over potential offensiveness.,normative,sanctity,politics,Freedom of speech
"Allowing for greater government control over online content is necessary to prevent the spread of misinformation, even if it means sacrificing some individual freedom.",normative,trolley problem,politics,Freedom of speech
Government surveillance causes increased self-censorship among citizens.,empirical,causation,politics,Government surveillance
The scale and scope of government surveillance have significantly increased over the past decade.,empirical,magnitude,politics,Government surveillance
More than 50% of online activities are monitored by governments worldwide.,empirical,prevalence,politics,Government surveillance
Government surveillance is less invasive compared to the use of facial recognition technology for law enforcement purposes.,empirical,comparison,politics,Government surveillance
There is a direct correlation between the amount of government surveillance and economic growth in a country.,empirical,causation,politics,Government surveillance
A higher percentage of citizens in authoritarian regimes are subject to government surveillance compared to democratic nations.,empirical,comparison,politics,Government surveillance
"The data collected through government surveillance is often used for purposes other than national security, such as commercial gain.",empirical,calibration,politics,Government surveillance
A significant majority of experts agree that government surveillance infringes upon individual privacy rights.,empirical,consensus,politics,Government surveillance
Government surveillance should always prioritize transparency over secrecy,normative,sanctity,politics,Government surveillance
Citizens have a responsibility to tolerate some level of government surveillance for the sake of national security,normative,responsibility,politics,Government surveillance
The value of personal privacy is outweighed by the need for effective counterterrorism measures,normative,value tradeoff,politics,Government surveillance
"Government surveillance programs should be subject to regular, independent audits to prevent abuse",normative,policy response,politics,Government surveillance
The loyalty required of citizens in a democracy justifies limited government access to personal data,normative,loyalty,politics,Government surveillance
"Government surveillance should only be used when it has a direct, immediate impact on a specific crime or threat",normative,moral valence,politics,Government surveillance
Surveillance programs that disproportionately target certain groups undermine trust in the rule of law and democratic institutions,normative,authority,politics,Government surveillance
"There are situations where a small-scale, targeted surveillance operation is justified even if it directly infringes on individual rights",normative,trolley problem,politics,Government surveillance
Campaign finance regulations significantly influence the type of candidates that run for public office.,empirical,causation,politics,Campaign finance
The majority of political contributions in high-stakes elections come from a relatively small number of donors.,empirical,magnitude,politics,Campaign finance
"In the past two decades, there has been a noticeable increase in spending on digital campaign advertising.",empirical,magnitude,politics,Campaign finance
"Compared to other developed democracies, the United States stands out for its high levels of political campaign finance disclosure.",empirical,comparison,politics,Campaign finance
The most effective way to reduce the influence of money in politics is through the implementation of publicly financed elections.,empirical,calibration,politics,Campaign finance
There is a direct correlation between the amount of money spent on campaign advertising and the number of votes received by a candidate.,empirical,causation,politics,Campaign finance
"In recent elections, a significant proportion of independent expenditures have come from organizations that are not subject to contribution limits.",empirical,prevalence,politics,Campaign finance
"According to most political scientists, the Citizens United decision has had a profound impact on campaign finance and election outcomes in the US.",empirical,consensus,politics,Campaign finance
Money in politics undermines public trust.,normative,moral valence,politics,Campaign finance
Lobbyists have an undue influence on policy decisions.,normative,responsibility,politics,Campaign finance
Campaign finance reform would improve democratic accountability.,normative,policy response,politics,Campaign finance
Allowing unlimited campaign contributions prioritizes corporate interests over those of citizens.,normative,value tradeoff,politics,Campaign finance
Public financing of elections strengthens the bonds between politicians and their constituents.,normative,loyalty,politics,Campaign finance
The current campaign finance system corrodes legitimate democratic institutions.,normative,authority,politics,Campaign finance
Strict campaign finance laws preserve the sanctity of elections by reducing undue influence from special interest groups.,normative,sanctity,politics,Campaign finance
Banning corporate donations would lead to a more representative government at the cost of decreased access for smaller candidates.,normative,consensus,politics,Campaign finance
Voter participation in elections directly correlates with the level of civic engagement in a society.,empirical,causation,politics,Voter participation
The turnout in presidential elections is significantly higher than that in midterm elections.,empirical,magnitude,politics,Voter participation
There has been a decrease in voter participation rates among young adults over the past decade.,empirical,prevalence,politics,Voter participation
Mail-in voting methods lead to a higher rate of voter participation compared to traditional polling stations.,empirical,comparison,politics,Voter participation
