{\rtf1\ansi\ansicpg1252\cocoartf2867
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 id,statement,category\
0,"Social media does more harm than good for society.",Technology\
1,"Remote work is better than working in an office.",Work\
2,"College education should be free for all students.",Education\
3,"Artificial intelligence will create more jobs than it eliminates.",Technology\
4,"Eating meat is morally wrong.",Ethics\
5,"The death penalty should be abolished worldwide.",Justice\
6,"Parents should not be allowed to share photos of their children on social media.",Privacy\
7,"Professional athletes are overpaid for what they do.",Sports\
8,"Learning a second language should be mandatory in schools.",Education\
9,"Self-driving cars will make roads safer overall.",Technology\
10,"Zoos do more harm than good for animal welfare.",Ethics\
11,"A four-day work week should be the standard.",Work\
12,"Violent video games contribute to real-world violence.",Media\
13,"Universal basic income is a good solution to technological unemployment.",Economics\
14,"Space exploration is more important than solving Earth's problems.",Science\
15,"Homework does more harm than good for students.",Education\
16,"Online friendships are as valuable as in-person friendships.",Social\
17,"Standardized testing is an ineffective measure of student ability.",Education\
18,"Nuclear energy is necessary to combat climate change.",Environment\
19,"Tipping culture should be eliminated in favor of higher base wages.",Economics\
20,"Reality TV has a negative impact on society.",Media\
21,"Genetic engineering of humans should be allowed.",Ethics\
22,"Reading fiction is more valuable than reading nonfiction.",Culture\
23,"Democracy is the best form of government.",Politics\
24,"Art and music classes are as important as math and science.",Education\
25,"Cryptocurrency will eventually replace traditional currency.",Economics\
26,"Assisted suicide should be legal for terminally ill patients.",Ethics\
27,"Minimum wage should be high enough to support a comfortable living.",Economics\
28,"Children should not be exposed to religion until they can choose for themselves.",Philosophy\
29,"Privacy is more important than national security.",Politics\
30,"Cancel culture does more harm than good.",Social\
31,"The electoral college should be abolished in the United States.",Politics\
32,"Zoos and aquariums should be banned.",Ethics\
33,"School uniforms improve the learning environment.",Education\
34,"Plastic should be banned entirely.",Environment\
35,"The traditional 9-5 work schedule is outdated.",Work\
36,"Public transportation should be free for everyone.",Economics\
37,"Screen time limits are necessary for children.",Parenting\
38,"Billionaires should not exist in an ethical society.",Economics\
39,"Animals should have the same legal rights as humans.",Ethics\
40,"All drugs should be decriminalized.",Policy\
41,"Homeschooling is better than traditional schooling.",Education\
42,"Climate change is the most pressing issue facing humanity.",Environment\
43,"Prison should focus on rehabilitation rather than punishment.",Justice\
44,"Beauty pageants are harmful and should be banned.",Social\
45,"Marriage as an institution is outdated.",Social\
46,"Streaming services are killing traditional cinema.",Entertainment\
47,"Censorship is sometimes necessary to protect society.",Politics\
48,"Professional sports leagues should ban performance-enhancing drugs entirely.",Sports\
49,"Fast fashion is unethical and should be avoided.",Ethics\
50,"Voting should be mandatory for all eligible citizens.",Politics\
51,"Organic food is worth the extra cost.",Health\
52,"Children should be allowed to decide their own bedtimes.",Parenting\
53,"Genetically modified foods are safe and beneficial.",Science\
54,"The internet has made people lonelier overall.",Social\
55,"Traditional gender roles are outdated and harmful.",Social\
56,"Grading systems in schools should be abolished.",Education\
57,"Automation will lead to a worse quality of life for most people.",Technology\
58,"Advertising to children should be illegal.",Ethics\
59,"Professional musicians should not lip-sync at concerts.",Entertainment\
60,"Governments should regulate social media platforms more strictly.",Policy\
61,"Having children is morally irresponsible given climate change.",Ethics\
62,"The traditional five-day school week should be shortened.",Education\
63,"Cosmetic surgery for purely aesthetic reasons is unethical.",Ethics\
64,"All animals should be kept as pets, not just domesticated ones.",Ethics\
65,"Books are better than movies for storytelling.",Culture\
66,"The voting age should be lowered to 16.",Politics\
67,"Single-use plastics should be banned globally.",Environment\
68,"The gig economy exploits workers.",Economics\
69,"Spanking children is never acceptable.",Parenting\
70,"Video games should be considered a legitimate sport.",Sports\
71,"Wealth inheritance perpetuates inequality and should be heavily taxed.",Economics\
72,"Traditional lectures are an ineffective teaching method.",Education\
73,"Humans have a moral obligation to be vegetarian or vegan.",Ethics\
74,"Social media platforms should verify all user identities.",Technology\
75,"The traditional concept of retirement at 65 is outdated.",Work\
76,"Graffiti is a legitimate form of art.",Culture\
77,"All healthcare should be provided by the government.",Policy\
78,"Reality shows exploit their participants.",Media\
79,"Children should not be given participation trophies.",Education\
80,"The fashion industry promotes unhealthy body standards.",Social\
81,"Standardized testing should be eliminated from schools.",Education\
82,"Public figures have no right to privacy.",Media\
83,"Superhero movies are oversaturating the film industry.",Entertainment\
84,"Everyone should learn to code.",Education\
85,"The concept of intellectual property stifles innovation.",Economics\
86,"Parents should not force their children to hug relatives.",Parenting\
87,"Zoos are necessary for species conservation.",Ethics\
88,"Working from home makes people less productive.",Work\
89,"Student loan debt should be forgiven.",Economics\
90,"The traditional album format in music is outdated.",Entertainment\
91,"Social media influencing is not a real job.",Work\
92,"Governments should ban all forms of tobacco.",Policy\
93,"Open-plan offices are worse for productivity than private offices.",Work\
94,"The legal drinking age should be lowered.",Policy\
95,"Piracy of digital media is sometimes justified.",Ethics\
96,"Contact sports like boxing and MMA should be banned.",Sports\
97,"Universities should eliminate Greek life organizations.",Education\
98,"The concept of a 'dream job' is harmful.",Work\
99,"Zoos provide valuable educational experiences.",Education\
100,"Parents should be licensed before having children.",Ethics\
101,"Historical statues should not be removed regardless of who they depict.",History\
102,"The internet should be recognized as a basic human right.",Technology\
103,"Schools should teach personal finance as a mandatory subject.",Education\
104,"Exotic animals should not be kept as pets.",Ethics\
105,"The traditional nine-month school year is inefficient.",Education\
106,"Professional video gaming deserves the same respect as traditional sports.",Sports\
107,"Nepotism in the workplace is always wrong.",Work\
108,"The government should regulate portion sizes at restaurants.",Policy\
109,"Driverless public transportation is the future of cities.",Technology\
110,"Parents should not give their children allowances.",Parenting\
111,"Streaming music services exploit artists.",Economics\
112,"Traditional news media is more trustworthy than social media news.",Media\
113,"School starting times should be later to match teenage sleep patterns.",Education\
114,"Eco-tourism does more harm than good.",Environment\
115,"The right to be forgotten should exist online.",Technology\
116,"Professional dress codes are unnecessary in most workplaces.",Work\
117,"Competitive sports for young children do more harm than good.",Sports\
118,"Libraries are becoming obsolete in the digital age.",Culture\
119,"The concept of work-life balance is a myth.",Work}
